################################################################################
# HI-MaNGA: HI Followup for the MaNGA Survey
# Observed under code: AGBT17A_012
# Masters, K.L. et al. in prep.
################################################################################
# Telescope:   Robert C. Bryd Green Bank Telescope
# Beam Size FWHM [arcminutes]: 9.0 
# Object (MaNGA plate-ifu format): 8601-9102
# RA Dec (J2000): 16 41 37.3  +40 09 50
# Rest Frequency [MHz]:  1420.4058
# Central velocity [km/s]: 10083.9  
# Integration time [seconds]: 698.6   
# Date(s) of observations (UT): 2017-10-13 
####################################################################################
# ASCII Table
# Generated by D. V. Stark  Thu May 16 21:12:05 2019
# The spectrum is baselined and Hanning smoothed
# Columns are: Velocity of HI (km/s), Flux (Jy), Pre-baseline subtracted flux (Jy)
####################################################################################
# vHI,fHI,fBHI
       7633.0853 -0.000652867    -0.615860
       7638.1655  0.000631835    -0.614380
       7643.2458  0.000360465    -0.614462
       7648.3263  -0.00291286    -0.617551
       7653.4070  -0.00512776    -0.619587
       7658.4878  -0.00466829    -0.618954
       7663.5688  -0.00381736    -0.617934
       7668.6500  -0.00374149    -0.617695
       7673.7314  -0.00636310    -0.620158
       7678.8129  -0.00946169    -0.623103
       7683.8946  -0.00837235    -0.621865
       7688.9764  -0.00536530    -0.618713
       7694.0584  -0.00537449    -0.618583
       7699.1406  -0.00734426    -0.620419
       7704.2230  -0.00914504    -0.622090
       7709.3055  -0.00869978    -0.621519
       7714.3882  -0.00865744    -0.621356
       7719.4710   -0.0110747    -0.623657
       7724.5541   -0.0105551    -0.623026
       7729.6373  -0.00871438    -0.621077
       7734.7206  -0.00921944    -0.621479
       7739.8042  -0.00896717    -0.621128
       7744.8879  -0.00864511    -0.620712
       7749.9717   -0.0106584    -0.622635
       7755.0558   -0.0137081    -0.625598
       7760.1400   -0.0156709    -0.627479
       7765.2243   -0.0130380    -0.624768
       7770.3089  -0.00916281    -0.620818
       7775.3936  -0.00983855    -0.621424
       7780.4785   -0.0119667    -0.623485
       7785.5635   -0.0130086    -0.624465
       7790.6487   -0.0138547    -0.625252
       7795.7341   -0.0145816    -0.625924
       7800.8196   -0.0143587    -0.625650
       7805.9054   -0.0127576    -0.624001
       7810.9912   -0.0117384    -0.622937
       7816.0773   -0.0131171    -0.624275
       7821.1635   -0.0169025    -0.628024
       7826.2499   -0.0190499    -0.630137
       7831.3365   -0.0164115    -0.627468
       7836.4232   -0.0139361    -0.624966
       7841.5101   -0.0152740    -0.626280
       7846.5971   -0.0148948    -0.625881
       7851.6844   -0.0129500    -0.623919
       7856.7718   -0.0149803    -0.625935
       7861.8593   -0.0165052    -0.627449
       7866.9471   -0.0154365    -0.626372
       7872.0350   -0.0150050    -0.625936
       7877.1230   -0.0133849    -0.624314
       7882.2113   -0.0111751    -0.622105
       7887.2997   -0.0129161    -0.623850
       7892.3883   -0.0151331    -0.626074
       7897.4770   -0.0134928    -0.624444
       7902.5659   -0.0129813    -0.623945
       7907.6550   -0.0161092    -0.627088
       7912.7442   -0.0170267    -0.628023
       7917.8337   -0.0143201    -0.625337
       7922.9233   -0.0158609    -0.626901
       7928.0130   -0.0190359    -0.630102
       7933.1029   -0.0185754    -0.629669
       7938.1930   -0.0181632    -0.629288
       7943.2833   -0.0170860    -0.628244
       7948.3737   -0.0137495    -0.624943
       7953.4643   -0.0117538    -0.622985
       7958.5551   -0.0149539    -0.626225
       7963.6460   -0.0178374    -0.629151
       7968.7371   -0.0165244    -0.627883
       7973.8284   -0.0142804    -0.625686
       7978.9198   -0.0130178    -0.624473
       7984.0114   -0.0132926    -0.624799
       7989.1032   -0.0133416    -0.624901
       7994.1951   -0.0139319    -0.625547
       7999.2873   -0.0155875    -0.627260
       8004.3795   -0.0173262    -0.629058
       8009.4720   -0.0177368    -0.629530
       8014.5646   -0.0164722    -0.628329
       8019.6574   -0.0158457    -0.627768
       8024.7503   -0.0156140    -0.627603
       8029.8435   -0.0152145    -0.627272
       8034.9368   -0.0139740    -0.626102
       8040.0302   -0.0121570    -0.624358
       8045.1238   -0.0123599    -0.624635
       8050.2176   -0.0148086    -0.627159
       8055.3116   -0.0151835    -0.627612
       8060.4057   -0.0132799    -0.625787
       8065.5001   -0.0129217    -0.625509
       8070.5945   -0.0138365    -0.626506
       8075.6892   -0.0153089    -0.628062
       8080.7840   -0.0168518    -0.629690
       8085.8790   -0.0163933    -0.629318
       8090.9741   -0.0150275    -0.628040
       8096.0694   -0.0157308    -0.628833
       8101.1649   -0.0166489    -0.629842
       8106.2606   -0.0167832    -0.630068
       8111.3564   -0.0154410    -0.628819
       8116.4524   -0.0126884    -0.626161
       8121.5485   -0.0120914    -0.625659
       8126.6448   -0.0137730    -0.627438
       8131.7413   -0.0162072    -0.629970
       8136.8380   -0.0166977    -0.630560
       8141.9348   -0.0138368    -0.627799
       8147.0318   -0.0127899    -0.626854
