################################################################################
# HI-MaNGA: HI Followup for the MaNGA Survey
# Observed under code: AGBT17A_012
# Masters, K.L. et al. in prep.
################################################################################
# Telescope:   Robert C. Bryd Green Bank Telescope
# Beam Size FWHM [arcminutes]: 9.0 
# Object (MaNGA plate-ifu format): 7958-6103
# RA Dec (J2000): 17 09 00.4  +34 54 16
# Rest Frequency [MHz]:  1420.4058
# Central velocity [km/s]: 10690.9  
# Integration time [seconds]: 817.0   
# Date(s) of observations (UT): 2017-05-31 
####################################################################################
# ASCII Table
# Generated by David V. Stark  Mon Feb 11 19:59:15 2019
# The spectrum is baselined and Hanning smoothed
# Columns are: Velocity of HI (km/s), Flux (Jy), Pre-baseline subtracted flux (Jy)
####################################################################################
# vHI,fHI,fBHI
       8230.5892     0.105413 -0.000130658
       8235.6890     0.105692   0.00216635
       8240.7889     0.106065   0.00452699
       8245.8891     0.105315   0.00573514
       8250.9893     0.103219   0.00556869
       8256.0898     0.100743   0.00499379
       8261.1904    0.0984791   0.00460281
       8266.2912    0.0963407   0.00430895
       8271.3922    0.0940877   0.00387287
       8276.4933    0.0926785   0.00425334
       8281.5946    0.0911097   0.00444713
       8286.6961    0.0884101   0.00348345
       8291.7977    0.0865625   0.00334535
       8296.8995    0.0854990   0.00396536
       8302.0015    0.0834222   0.00354635
       8307.1036    0.0804488   0.00220542
       8312.2059    0.0784798   0.00184367
       8317.3084    0.0784832   0.00342958
       8322.4111    0.0776262   0.00413066
       8327.5139    0.0745964   0.00263465
       8332.6169    0.0721995   0.00174779
       8337.7200    0.0712256   0.00226029
       8342.8234    0.0704926   0.00299037
       8347.9268    0.0696781   0.00361604
       8353.0305    0.0679129   0.00326822
       8358.1343    0.0664943   0.00324463
       8363.2383    0.0666955   0.00481869
       8368.3425    0.0666228   0.00609705
       8373.4469    0.0656595   0.00646317
       8378.5514    0.0638648   0.00597668
       8383.6560    0.0613764   0.00477536
       8388.7609    0.0606124   0.00527775
       8393.8659    0.0602351   0.00614624
       8398.9711    0.0580557   0.00519252
       8404.0764    0.0558843   0.00422677
       8409.1820    0.0548729   0.00440136
       8414.2877    0.0543382   0.00503326
       8419.3935    0.0535656   0.00540792
       8424.4996    0.0527811   0.00575192
       8429.6058    0.0513754   0.00545587
       8434.7121    0.0503137   0.00548550
       8439.8187    0.0498022   0.00604709
       8444.9254    0.0484638   0.00576377
       8450.0323    0.0467261   0.00506345
       8455.1393    0.0460887   0.00544602
       8460.2465    0.0463464   0.00670646
       8465.3539    0.0449435   0.00628926
       8470.4615    0.0417844   0.00409905
       8475.5692    0.0403037   0.00357076
       8480.6771    0.0419998   0.00620287
       8485.7851    0.0435178   0.00864076
       8490.8934    0.0427615   0.00878857
       8496.0018    0.0400947   0.00701011
       8501.1103    0.0365920   0.00438047
       8506.2191    0.0352554   0.00390157
       8511.3280    0.0364009   0.00588978
       8516.4371    0.0370647   0.00738151
       8521.5463    0.0361194   0.00724949
       8526.6557    0.0344218   0.00635087
       8531.7653    0.0332574   0.00597121
       8536.8751    0.0316463   0.00513085
       8541.9850    0.0293392   0.00358071
       8547.0951    0.0286209   0.00360575
       8552.2053    0.0275093   0.00322418
       8557.3158    0.0260459   0.00247754
       8562.4264    0.0268622   0.00399755
       8567.5372    0.0276906   0.00551688
       8572.6481    0.0269774   0.00548200
       8577.7592    0.0256490   0.00481950
       8582.8705    0.0246356   0.00445968
       8587.9819    0.0233568   0.00382234
       8593.0936    0.0222861   0.00338125
       8598.2053    0.0232475   0.00496057
       8603.3173    0.0240675   0.00638691
       8608.4294    0.0239780   0.00689230
       8613.5417    0.0241266   0.00762463
       8618.6542    0.0228828   0.00695349
       8623.7668    0.0212358   0.00586830
       8628.8796    0.0203958   0.00557939
       8633.9926    0.0200622   0.00578635
       8639.1058    0.0198078   0.00606214
       8644.2191    0.0186925   0.00546671
       8649.3325    0.0185172   0.00580132
       8654.4462    0.0186492   0.00643327
       8659.5600    0.0176007   0.00587498
       8664.6740    0.0168842   0.00563912
       8669.7882    0.0169235   0.00614960
       8674.9025    0.0173602   0.00704811
       8680.0170    0.0164912   0.00663190
       8685.1317    0.0148719   0.00545632
       8690.2465    0.0150580   0.00607721
       8695.3615    0.0151972   0.00664252
       8700.4767    0.0137063   0.00556919
       8705.5921    0.0131297   0.00540164
       8710.7076    0.0138439   0.00651666
       8715.8233    0.0142704   0.00733578
       8720.9391    0.0148002   0.00825021
       8726.0552    0.0135944   0.00742108
       8731.1713    0.0122272   0.00642281
       8736.2877    0.0127758   0.00733266
       8741.4043    0.0120009   0.00691159
       8746.5210    0.0111081   0.00636509
       8751.6378    0.0107721   0.00636822
       8756.7549    0.0101863   0.00611446
       8761.8721    0.0108674   0.00712054
       8766.9895    0.0107199   0.00729110
       8772.1070   0.00926180   0.00614428
       8777.2248   0.00980238   0.00698950
       8782.3427    0.0100444   0.00752959
       8787.4607   0.00866914   0.00644602
       8792.5790   0.00889769   0.00695991
       8797.6974   0.00906658   0.00740794
       8802.8159   0.00800648   0.00662088
       8807.9347   0.00861433   0.00749579
       8813.0536   0.00926674   0.00840938
       8818.1727   0.00716887   0.00656691
       8823.2919   0.00583256   0.00548034
       8828.4113   0.00615022   0.00604217
       8833.5309   0.00633407   0.00646472
       8838.6507   0.00706763   0.00743161
       8843.7706   0.00760604   0.00819810
       8848.8907   0.00785829   0.00867325
       8854.0110   0.00831281   0.00934561
       8859.1314   0.00874168   0.00998733
       8864.2521   0.00776961   0.00922324
       8869.3728   0.00610154   0.00775836
       8874.4938   0.00615125   0.00800656
       8879.6149   0.00649269   0.00854188
       8884.7362   0.00546318   0.00770173
       8889.8577   0.00396080   0.00638428
       8894.9793   0.00375753   0.00636160
       8900.1011   0.00462036   0.00740076
       8905.2231   0.00482307   0.00777561
       8910.3452   0.00423809   0.00735869
       8915.4675   0.00403488   0.00731952
       8920.5900   0.00319374   0.00663850
       8925.7127   0.00256052   0.00616155
       8930.8355   0.00360554   0.00735906
       8935.9585   0.00385632   0.00775863
       8941.0816   0.00387371   0.00792120
       8946.2050   0.00333481   0.00752394
       8951.3285   0.00228117   0.00660846
       8956.4521   0.00291748   0.00737953
       8961.5760   0.00284251   0.00743600
       8966.7000   0.00267244   0.00739411
       8971.8242   0.00408308   0.00892975
       8976.9485   0.00308654   0.00805509
       8982.0730   0.00124639   0.00633376
       8987.1977   0.00202584   0.00722905
       8992.3226   0.00369950   0.00901564
       8997.4476   0.00444427   0.00987048
       9002.5728   0.00233266   0.00786615
       9007.6982  0.000727530   0.00636557
       9012.8237   0.00148401   0.00722394
       9017.9495   0.00193796   0.00777717
       9023.0753   0.00162411   0.00756005
       9028.2014 -0.000171187   0.00585900
       9033.3276 -0.000988167   0.00513384
       9038.4540 -0.000180255   0.00603119
       9043.5806 -0.000883494   0.00541508
       9048.7073  -0.00125398   0.00512946
       9053.8342 -0.000139461   0.00632663
       9058.9613 -0.000216149   0.00633044
