################################################################################
# HI-MaNGA: HI Followup for the MaNGA Survey
# Observed under code: AGBT17A_012
# Masters, K.L. et al. in prep.
################################################################################
# Telescope:   Robert C. Bryd Green Bank Telescope
# Beam Size FWHM [arcminutes]: 9.0 
# Object (MaNGA plate-ifu format): 9485-3701
# RA Dec (J2000): 07 58 07.7  +36 49 54
# Rest Frequency [MHz]:  1420.4058
# Central velocity [km/s]: 11761.6  
# Integration time [seconds]: 1794.1  
# Date(s) of observations (UT): 2017-07-08 
####################################################################################
# ASCII Table
# Generated by David V. Stark  Tue Mar 12 21:13:18 2019
# The spectrum is baselined and Hanning smoothed
# Columns are: Velocity of HI (km/s), Flux (Jy), Pre-baseline subtracted flux (Jy)
####################################################################################
# vHI,fHI,fBHI
       9284.3225 -0.000914904    0.0509427
       9289.4573  -0.00190726    0.0505512
       9294.5923  -0.00314356    0.0499026
       9299.7274  -0.00388274    0.0497380
       9304.8627  -0.00393014    0.0502522
       9309.9982  -0.00483083    0.0499005
       9315.1339  -0.00514880    0.0501189
       9320.2697  -0.00432918    0.0514626
       9325.4057  -0.00420870    0.0520948
       9330.5419  -0.00434661    0.0524567
       9335.6782  -0.00511499    0.0521761
       9340.8147  -0.00608994    0.0516772
       9345.9514  -0.00680979    0.0514219
       9351.0883  -0.00761118    0.0510735
       9356.2253  -0.00811893    0.0510075
       9361.3625  -0.00927222    0.0502849
       9366.4999  -0.00995173    0.0500251
       9371.6374  -0.00895549    0.0514302
       9376.7751  -0.00924635    0.0515375
       9381.9130   -0.0113152    0.0498563
       9387.0510   -0.0127712    0.0487777
       9392.1893   -0.0139716    0.0479444
       9397.3276   -0.0141428    0.0481302
       9402.4662   -0.0135932    0.0490268
       9407.6049   -0.0142919    0.0486654
       9412.7438   -0.0152444    0.0480405
       9417.8829   -0.0158101    0.0477930
       9423.0222   -0.0164095    0.0475022
       9428.1616   -0.0175159    0.0466954
       9433.3012   -0.0181675    0.0463341
       9438.4409   -0.0177548    0.0470283
       9443.5808   -0.0186075    0.0464482
       9448.7209   -0.0198169    0.0455026
       9453.8612   -0.0193716    0.0462033
       9459.0016   -0.0194122    0.0464096
       9464.1423   -0.0203365    0.0457239
       9469.2830   -0.0202807    0.0460101
       9474.4240   -0.0190585    0.0474546
       9479.5651   -0.0179455    0.0487820
       9484.7064   -0.0181441    0.0487899
       9489.8479   -0.0190515    0.0480815
       9494.9895   -0.0193259    0.0479985
       9500.1313   -0.0185307    0.0489775
       9505.2733   -0.0173158    0.0503691
       9510.4155   -0.0172693    0.0505849
       9515.5578   -0.0176652    0.0503513
       9520.7003   -0.0166043    0.0515676
       9525.8429   -0.0155234    0.0527970
       9530.9858   -0.0156966    0.0527655
       9536.1288   -0.0157450    0.0528521
       9541.2719   -0.0150000    0.0537258
       9546.4153   -0.0148244    0.0540236
       9551.5588   -0.0154191    0.0535448
       9556.7025   -0.0156839    0.0533897
       9561.8464   -0.0158508    0.0533263
       9566.9904   -0.0164676    0.0528072
       9572.1346   -0.0168428    0.0525237
       9577.2790   -0.0167134    0.0527392
       9582.4235   -0.0166156    0.0529173
       9587.5682   -0.0169269    0.0526808
       9592.7131   -0.0177825    0.0518946
       9597.8582   -0.0184734    0.0512676
       9603.0034   -0.0185236    0.0512762
       9608.1488   -0.0184885    0.0513647
       9613.2944   -0.0194985    0.0504032
       9618.4401   -0.0209530    0.0489923
       9623.5860   -0.0219583    0.0480256
       9628.7321   -0.0226207    0.0473971
       9633.8784   -0.0225572    0.0474897
       9639.0248   -0.0221106    0.0479610
       9644.1714   -0.0218111    0.0482806
       9649.3181   -0.0221379    0.0479694
       9654.4651   -0.0236075    0.0465111
       9659.6122   -0.0241248    0.0460009
       9664.7595   -0.0238850    0.0462437
       9669.9069   -0.0249467    0.0451809
       9675.0546   -0.0249395    0.0451829
       9680.2024   -0.0243628    0.0457507
       9685.3503   -0.0251754    0.0449253
       9690.4985   -0.0257633    0.0443208
       9695.6468   -0.0254011    0.0446629
       9700.7953   -0.0248409    0.0451993
       9705.9439   -0.0242587    0.0457543
       9711.0927   -0.0233395    0.0466428
       9716.2417   -0.0226985    0.0472499
       9721.3909   -0.0224623    0.0474489
       9726.5402   -0.0220333    0.0478374
       9731.6897   -0.0209065    0.0489208
       9736.8394   -0.0192285    0.0505522
       9741.9893   -0.0190023    0.0507289
       9747.1393   -0.0196673    0.0500115
       9752.2895   -0.0197623    0.0498614
       9757.4399   -0.0195962    0.0499696
       9762.5904   -0.0180612    0.0514440
       9767.7411   -0.0168112    0.0526308
       9772.8920   -0.0170981    0.0522782
       9778.0430   -0.0171724    0.0521357
       9783.1943   -0.0175622    0.0516753
       9788.3457   -0.0175112    0.0516534
       9793.4972   -0.0160318    0.0530577
       9798.6490   -0.0150334    0.0539787
       9803.8009   -0.0147626    0.0541699
       9808.9530   -0.0148508    0.0540001
       9814.1052   -0.0156039    0.0531634
       9819.2576   -0.0163099    0.0523718
       9824.4102   -0.0163696    0.0522247
       9829.5630   -0.0155998    0.0529052
       9834.7159   -0.0148881    0.0535258
       9839.8690   -0.0149738    0.0533474
       9845.0223   -0.0147060    0.0535208
       9850.1758   -0.0139102    0.0542205
       9855.3294   -0.0138141    0.0542191
       9860.4832   -0.0141452    0.0537888
       9865.6372   -0.0137760    0.0540575
       9870.7913   -0.0124980    0.0552336
       9875.9456   -0.0108386    0.0567897
       9881.1001   -0.0102906    0.0572332
       9886.2547   -0.0107859    0.0566322
       9891.4096   -0.0110115    0.0562997
       9896.5646   -0.0114434    0.0557597
       9901.7197   -0.0114552    0.0556388
       9906.8751   -0.0104261    0.0565577
       9912.0306   -0.0105619    0.0563108
       9917.1863   -0.0121975    0.0545630
       9922.3421   -0.0123751    0.0542725
       9927.4982   -0.0113136    0.0552201
       9932.6544   -0.0113581    0.0550611
       9937.8107   -0.0111225    0.0551813
       9942.9673  -0.00967274    0.0565149
       9948.1240  -0.00886286    0.0572081
       9953.2809  -0.00914260    0.0568109
       9958.4379  -0.00950363    0.0563319
       9963.5951  -0.00930126    0.0564158
       9968.7525  -0.00912437    0.0564737
       9973.9101  -0.00863443    0.0568441
       9979.0679  -0.00734683    0.0580118
       9984.2258  -0.00661643    0.0586220
       9989.3839  -0.00654353    0.0585742
       9994.5421  -0.00682403    0.0581728
       9999.7006  -0.00685596    0.0580196
       10004.859  -0.00580715    0.0589470
       10010.018  -0.00484580    0.0597867
       10015.177  -0.00505345    0.0594572
       10020.336  -0.00539616    0.0589925
       10025.495  -0.00499495    0.0592716
       10030.655  -0.00489012    0.0592543
       10035.814  -0.00450496    0.0595173
       10040.974  -0.00419642    0.0597037
       10046.134  -0.00440207    0.0593759
       10051.294  -0.00394089    0.0597150
       10056.455  -0.00411447    0.0594195
       10061.615  -0.00445962    0.0589525
       10066.776  -0.00466259    0.0586278
       10071.937  -0.00495668    0.0582121
       10077.098  -0.00397755    0.0590699
       10082.259  -0.00297149    0.0599549
       10087.420  -0.00253187    0.0602737
       10092.582  -0.00248396    0.0602010
       10097.743  -0.00324278    0.0593220
       10102.905  -0.00323685    0.0592080
       10108.067  -0.00276849    0.0595568
       10113.230  -0.00276884    0.0594373
       10118.392  -0.00178111    0.0603063
       10123.554 -0.000273591    0.0616955
       10128.717 -0.000955914    0.0608953
       10133.880  -0.00234576    0.0593881
       10139.043  -0.00148476    0.0601322
       10144.206 -0.000985949    0.0605147
       10149.370  -0.00181774    0.0595671
       10154.533  -0.00150924    0.0597603
       10159.697  -0.00114008    0.0600148
       10164.861 -0.000792141    0.0602487
       10170.025  0.000267461    0.0611949
       10175.189  0.000279589    0.0610942
       10180.354  0.000417107    0.0611196
       10185.519  0.000787401    0.0613784
       10190.683 -0.000372830    0.0601074
       10195.848  -0.00135227    0.0590179
       10201.013  -0.00113144    0.0591295
       10206.179 -0.000216676    0.0599356
       10211.344 -7.61066e-05    0.0599684
       10216.510 -0.000957715    0.0589797
       10221.676 -0.000373106    0.0594581
       10226.842  0.000958980    0.0606847
       10232.008  0.000657541    0.0602786
       10237.174 -0.000502643    0.0590146
       10242.341 -0.000593286    0.0588210
       10247.507  0.000713149    0.0600253
       10252.674   0.00164383    0.0608548
       10257.841  0.000750625    0.0598612
       10263.009 -0.000434000    0.0585771
       10268.176 -0.000190501    0.0587220
       10273.343  0.000274251    0.0590891
       10278.511 -8.00751e-05    0.0586380
       10283.679  0.000242673    0.0588649
       10288.847  0.000286140    0.0588135
       10294.015 -0.000610371    0.0578231
       10299.184 -0.000366423    0.0579741
       10304.352  0.000734751    0.0589833
       10309.521   0.00119497    0.0593525
       10314.690  0.000492938    0.0585604
       10319.859 -0.000689571    0.0572889
       10325.028 -0.000540803    0.0573496
       10330.198  0.000850655    0.0586540
       10335.367  0.000783776    0.0585011
       10340.537  9.75806e-05    0.0577299
       10345.707  0.000685853    0.0582342
       10350.877   0.00106107    0.0585265
       10356.048   0.00136089    0.0587444
       10361.218   0.00218299    0.0594856
       10366.389   0.00190060    0.0591234
       10371.560   0.00142423    0.0585683
       10376.731  0.000984667    0.0580510
       10381.902 -0.000131691    0.0568579
       10387.073 -0.000478847    0.0564351
       10392.245 -0.000598161    0.0562413
       10397.416 -0.000250742    0.0565152
       10402.588  0.000723090    0.0574166
       10407.760  0.000613200    0.0572353
       10412.932 -7.20960e-05    0.0564797
       10418.105 -0.000440439    0.0560422
       10423.277 -0.000129211    0.0562853
       10428.450  0.000874912    0.0572223
       10433.623   0.00188622    0.0581676
       10438.796   0.00219818    0.0584146
       10443.969  0.000880432    0.0570330
       10449.143 -0.000120851    0.0559690
       10454.316   0.00114246    0.0571706
       10459.490   0.00228450    0.0582520
       10464.664   0.00234793    0.0582559
       10469.838   0.00217775    0.0580272
       10475.012   0.00127895    0.0570710
       10480.187  0.000990093    0.0567258
       10485.361   0.00136548    0.0570460
       10490.536   0.00176388    0.0573901
       10495.711   0.00231579    0.0578889
       10500.886   0.00190396    0.0574250
       10506.062   0.00103916    0.0565092
       10511.237  0.000266180    0.0556863
       10516.413  0.000549953    0.0559211
       10521.588   0.00151956    0.0568429
       10526.764   0.00110812    0.0563846
       10531.941  0.000754793    0.0559855
       10537.117   0.00154672    0.0567327
       10542.294  0.000985224    0.0561275
       10547.470  2.37692e-05    0.0551234
       10552.647  0.000464612    0.0555226
       10557.824  2.87398e-05    0.0550461
       10563.001 -0.000877234    0.0541006
       10568.179 -0.000918805    0.0540204
       10573.356 -0.000340277    0.0545613
       10578.534  0.000714981    0.0555800
       10583.712  0.000115377    0.0549448
       10588.890  -0.00155013    0.0532447
       10594.068 -0.000930974    0.0538303
       10599.247  0.000481114    0.0552098
       10604.425  0.000945341    0.0556423
       10609.604   0.00115764    0.0558239
       10614.783  0.000491176    0.0551277
       10619.962  -0.00139874    0.0532091
       10625.141  -0.00229537    0.0522846
       10630.321 -0.000973323    0.0535798
       10635.500 -0.000526673    0.0540004
       10640.680  -0.00179499    0.0527071
       10645.860  -0.00306429    0.0514137
       10651.040  -0.00333608    0.0511187
       10656.221  -0.00257844    0.0518540
       10661.401  -0.00217661    0.0522345
       10666.582  -0.00183494    0.0525556
       10671.763  -0.00141334    0.0529576
       10676.944  -0.00130580    0.0530464
       10682.125  -0.00144374    0.0528905
       10687.306  -0.00227003    0.0520472
